tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_players,team_two_players,team_one_nationalities,team_two_nationalities,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,24-01-2018,HSBC BWF World Tour Super 500,MS,Round of 32,1,3,False,17-21,21-19,21-9,Brice Leverdez,Yuxiang Huang,FRA,CHN,59,49,8,8,3,2,6,8,0,2,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '9-12', '9-13', '9-14', '9-15', '10-15', '11-15', '12-15', '13-15', '14-15', '15-15', '15-16', '16-16', '16-17', '16-18', '16-19', '16-20', '17-20', '17-21']",4.0,5.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '5-8', '5-9', '6-9', '7-9', '7-10', '7-11', '7-12', '8-12', '9-12', '10-12', '11-12', '11-13', '12-13', '13-13', '13-14', '14-14', '15-14', '16-14', '16-15', '16-16', '16-17', '16-18', '17-18', '18-18', '19-18', '20-18', '20-19', '21-19']",8.0,3.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '8-2', '9-2', '10-2', '10-3', '10-4', '11-4', '11-5', '11-6', '11-7', '12-7', '13-7', '13-8', '14-8', '15-8', '16-8', '16-9', '17-9', '18-9', '19-9', '20-9', '21-9']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,24-01-2018,HSBC BWF World Tour Super 500,MS,Round of 32,2,3,False,21-12,15-21,15-21,Lucas Corvee,Tien Chen Chou,FRA,TPE,51,54,5,6,1,4,5,3,1,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '6-7', '7-7', '8-7', '9-7', '10-7', '10-8', '10-9', '11-9', '12-9', '13-9', '14-9', '15-9', '15-10', '16-10', '16-11', '17-11', '17-12', '18-12', '19-12', '20-12', '21-12']",2.0,6.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '1-6', '1-7', '2-7', '3-7', '3-8', '4-8', '5-8', '5-9', '5-10', '5-11', '6-11', '7-11', '7-12', '8-12', '9-12', '9-13', '10-13', '11-13', '11-14', '12-14', '12-15', '12-16', '12-17', '13-17', '13-18', '13-19', '14-19', '15-19', '15-20', '15-21']",4.0,4.0,0.0,3.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '2-5', '3-5', '3-6', '3-7', '3-8', '3-9', '4-9', '4-10', '4-11', '4-12', '4-13', '5-13', '6-13', '6-14', '6-15', '6-16', '6-17', '7-17', '8-17', '9-17', '10-17', '10-18', '10-19', '11-19', '12-19', '13-19', '13-20', '14-20', '15-20', '15-21']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,24-01-2018,HSBC BWF World Tour Super 500,MS,Round of 32,2,2,False,21-23,18-21,,Khosit Phetpradab,Hans-Kristian Solberg Vittinghus,THA,DEN,39,44,5,6,0,4,4,4,0,3,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '4-7', '4-8', '4-9', '5-9', '5-10', '6-10', '7-10', '7-11', '8-11', '8-12', '8-13', '9-13', '10-13', '10-14', '11-14', '11-15', '11-16', '12-16', '13-16', '13-17', '13-18', '14-18', '15-18', '16-18', '17-18', '17-19', '18-19', '19-19', '19-20', '20-20', '20-21', '21-21', '21-22', '21-23']",5.0,6.0,0.0,1.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '7-5', '7-6', '8-6', '8-7', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '13-9', '13-10', '13-11', '13-12', '13-13', '13-14', '13-15', '14-15', '15-15', '16-15', '16-16', '16-17', '17-17', '18-17', '18-18', '18-19', '18-20', '18-21']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,24-01-2018,HSBC BWF World Tour Super 500,MS,Round of 32,1,2,False,21-18,21-18,,Wei Feng Chong,Kashyap Parupalli,MAS,IND,42,36,4,5,4,0,4,3,2,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '4-3', '4-4', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '10-5', '11-5', '11-6', '11-7', '11-8', '12-8', '13-8', '13-9', '13-10', '13-11', '14-11', '14-12', '14-13', '14-14', '15-14', '16-14', '16-15', '17-15', '18-15', '18-16', '19-16', '19-17', '20-17', '20-18', '21-18']",4.0,5.0,2.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '6-7', '6-8', '6-9', '7-9', '8-9', '9-9', '10-9', '10-10', '11-10', '12-10', '13-10', '13-11', '13-12', '13-13', '14-13', '15-13', '16-13', '16-14', '16-15', '17-15', '17-16', '17-17', '18-17', '19-17', '20-17', '20-18', '21-18']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,25-01-2018,HSBC BWF World Tour Super 500,MS,Round of 16,0,2,True,20-22,7-11,,Viktor Axelsen,Kazumasa Sakai,DEN,JPN,27,33,3,4,0,3,3,3,0,3,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '2-5', '3-5', '4-5', '5-5', '5-6', '5-7', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '10-9', '10-10', '10-11', '11-11', '12-11', '12-12', '13-12', '14-12', '14-13', '14-14', '14-15', '15-15', '15-16', '16-16', '16-17', '17-17', '17-18', '17-19', '18-19', '18-20', '19-20', '20-20', '20-21', '20-22']",3.0,4.0,0.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '2-4', '3-4', '3-5', '3-6', '4-6', '4-7', '5-7', '6-7', '7-7', '7-8', '7-9', '7-10', '7-11']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,25-01-2018,HSBC BWF World Tour Super 500,MS,Round of 16,1,2,False,23-21,21-15,,Rasmus Gemke,Hyeok Jin Jeon,DEN,KOR,44,36,5,5,3,1,5,5,2,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '1-6', '1-7', '1-8', '2-8', '2-9', '3-9', '4-9', '5-9', '6-9', '7-9', '7-10', '8-10', '8-11', '8-12', '8-13', '9-13', '10-13', '11-13', '11-14', '12-14', '12-15', '13-15', '14-15', '15-15', '16-15', '17-15', '17-16', '18-16', '18-17', '18-18', '18-19', '19-19', '20-19', '20-20', '20-21', '21-21', '22-21', '23-21']",4.0,3.0,1.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '6-4', '6-5', '7-5', '8-5', '8-6', '8-7', '8-8', '9-8', '9-9', '10-9', '11-9', '11-10', '11-11', '12-11', '13-11', '13-12', '14-12', '15-12', '16-12', '17-12', '17-13', '18-13', '18-14', '19-14', '19-15', '20-15', '21-15']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,25-01-2018,HSBC BWF World Tour Super 500,MS,Round of 16,1,3,False,21-17,11-21,21-19,Wan Ho Son,Tzu Wei Wang,KOR,TPE,53,57,7,5,3,1,5,3,2,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '4-3', '4-4', '5-4', '6-4', '6-5', '7-5', '7-6', '8-6', '8-7', '9-7', '10-7', '11-7', '11-8', '12-8', '12-9', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '14-14', '15-14', '16-14', '17-14', '18-14', '18-15', '19-15', '19-16', '20-16', '20-17', '21-17']",3.0,5.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '3-6', '4-6', '5-6', '5-7', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '9-10', '9-11', '9-12', '9-13', '10-13', '10-14', '10-15', '10-16', '10-17', '10-18', '11-18', '11-19', '11-20', '11-21']",7.0,4.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '3-5', '4-5', '4-6', '4-7', '4-8', '4-9', '5-9', '5-10', '6-10', '6-11', '6-12', '7-12', '7-13', '8-13', '9-13', '10-13', '11-13', '12-13', '13-13', '14-13', '14-14', '15-14', '16-14', '16-15', '17-15', '18-15', '19-15', '19-16', '19-17', '19-18', '19-19', '20-19', '21-19']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,25-01-2018,HSBC BWF World Tour Super 500,MS,Round of 16,1,2,False,21-14,21-10,,Sony Dwi Kuncoro,Tommy Sugiarto,INA,INA,42,24,6,3,2,0,6,3,1,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '6-4', '6-5', '7-5', '7-6', '8-6', '9-6', '10-6', '11-6', '12-6', '13-6', '13-7', '13-8', '13-9', '14-9', '15-9', '15-10', '16-10', '16-11', '16-12', '17-12', '18-12', '19-12', '19-13', '19-14', '20-14', '21-14']",4.0,3.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '8-4', '9-4', '9-5', '9-6', '9-7', '10-7', '11-7', '12-7', '12-8', '13-8', '14-8', '15-8', '15-9', '16-9', '17-9', '17-10', '18-10', '19-10', '20-10', '21-10']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,25-01-2018,HSBC BWF World Tour Super 500,MS,Round of 16,1,3,False,21-18,11-21,21-11,Hans-Kristian Solberg Vittinghus,Wei Feng Chong,DEN,MAS,53,50,7,7,5,1,4,3,3,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '5-4', '5-5', '6-5', '7-5', '7-6', '8-6', '8-7', '9-7', '10-7', '10-8', '11-8', '11-9', '12-9', '13-9', '13-10', '14-10', '15-10', '15-11', '15-12', '16-12', '16-13', '17-13', '18-13', '18-14', '19-14', '19-15', '19-16', '20-16', '20-17', '20-18', '21-18']",4.0,7.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '5-5', '6-5', '6-6', '6-7', '6-8', '6-9', '6-10', '6-11', '6-12', '7-12', '7-13', '7-14', '7-15', '8-15', '9-15', '10-15', '11-15', '11-16', '11-17', '11-18', '11-19', '11-20', '11-21']",7.0,3.0,2.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '6-2', '7-2', '8-2', '9-2', '10-2', '10-3', '10-4', '10-5', '11-5', '11-6', '11-7', '12-7', '13-7', '14-7', '15-7', '16-7', '17-7', '18-7', '18-8', '18-9', '19-9', '19-10', '20-10', '20-11', '21-11']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,25-01-2018,HSBC BWF World Tour Super 500,MS,Round of 16,1,2,False,21-11,21-14,,Anthony Sinisuka Ginting,Kantaphon Wangcharoen,INA,THA,42,25,6,5,2,0,6,5,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '9-8', '10-8', '10-9', '11-9', '12-9', '13-9', '14-9', '15-9', '15-10', '15-11', '16-11', '17-11', '18-11', '19-11', '20-11', '21-11']",4.0,2.0,1.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '15-10', '15-11', '16-11', '16-12', '16-13', '17-13', '17-14', '18-14', '19-14', '20-14', '21-14']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,25-01-2018,HSBC BWF World Tour Super 500,MS,Round of 16,2,2,False,13-21,8-21,,Suppanyu Avihingsanon,Long Chen,THA,CHN,21,42,6,13,0,3,6,6,0,1,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '5-6', '5-7', '5-8', '5-9', '6-9', '6-10', '6-11', '6-12', '6-13', '7-13', '8-13', '9-13', '10-13', '11-13', '12-13', '12-14', '12-15', '13-15', '13-16', '13-17', '13-18', '13-19', '13-20', '13-21']",4.0,7.0,0.0,2.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '1-7', '2-7', '3-7', '4-7', '4-8', '4-9', '4-10', '4-11', '4-12', '4-13', '5-13', '5-14', '5-15', '6-15', '6-16', '6-17', '6-18', '7-18', '7-19', '7-20', '8-20', '8-21']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,25-01-2018,HSBC BWF World Tour Super 500,MS,Round of 16,2,2,False,16-21,17-21,,Brice Leverdez,Tien Chen Chou,FRA,TPE,33,42,5,7,0,3,5,7,0,2,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '3-6', '4-6', '5-6', '6-6', '7-6', '7-7', '8-7', '9-7', '9-8', '9-9', '10-9', '10-10', '10-11', '10-12', '11-12', '12-12', '12-13', '13-13', '14-13', '15-13', '15-14', '15-15', '15-16', '15-17', '15-18', '15-19', '15-20', '16-20', '16-21']",4.0,5.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '7-5', '7-6', '7-7', '7-8', '7-9', '8-9', '8-10', '9-10', '9-11', '10-11', '10-12', '11-12', '11-13', '11-14', '11-15', '11-16', '11-17', '12-17', '12-18', '13-18', '13-19', '14-19', '15-19', '16-19', '17-19', '17-20', '17-21']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,26-01-2018,HSBC BWF World Tour Super 500,MS,Quarter final,1,3,False,21-11,16-21,21-18,Anthony Sinisuka Ginting,Long Chen,INA,CHN,58,50,8,5,2,2,8,2,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '12-4', '13-4', '13-5', '13-6', '14-6', '14-7', '14-8', '15-8', '15-9', '16-9', '16-10', '17-10', '18-10', '18-11', '19-11', '20-11', '21-11']",5.0,5.0,0.0,2.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '3-5', '3-6', '3-7', '3-8', '4-8', '4-9', '4-10', '5-10', '6-10', '6-11', '6-12', '7-12', '8-12', '8-13', '8-14', '9-14', '10-14', '11-14', '12-14', '13-14', '13-15', '14-15', '15-15', '15-16', '15-17', '15-18', '15-19', '15-20', '16-20', '16-21']",5.0,4.0,1.0,0.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '3-4', '3-5', '3-6', '4-6', '5-6', '6-6', '6-7', '7-7', '7-8', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '13-9', '13-10', '14-10', '14-11', '15-11', '16-11', '16-12', '17-12', '17-13', '18-13', '18-14', '19-14', '19-15', '19-16', '19-17', '19-18', '20-18', '21-18']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,26-01-2018,HSBC BWF World Tour Super 500,MS,Quarter final,1,3,False,15-21,21-16,21-18,Tien Chen Chou,Hans-Kristian Solberg Vittinghus,TPE,DEN,57,55,8,6,3,2,5,6,0,2,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '1-6', '2-6', '3-6', '4-6', '5-6', '5-7', '5-8', '6-8', '7-8', '7-9', '7-10', '8-10', '9-10', '10-10', '10-11', '10-12', '11-12', '11-13', '12-13', '12-14', '12-15', '12-16', '12-17', '12-18', '13-18', '13-19', '14-19', '14-20', '15-20', '15-21']",8.0,4.0,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '5-3', '5-4', '5-5', '5-6', '5-7', '6-7', '6-8', '6-9', '7-9', '8-9', '9-9', '10-9', '11-9', '12-9', '13-9', '14-9', '14-10', '14-11', '15-11', '15-12', '15-13', '16-13', '17-13', '18-13', '18-14', '18-15', '19-15', '20-15', '20-16', '21-16']",3.0,5.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '6-8', '7-8', '8-8', '8-9', '9-9', '9-10', '9-11', '9-12', '10-12', '10-13', '11-13', '11-14', '12-14', '13-14', '14-14', '14-15', '15-15', '16-15', '17-15', '17-16', '18-16', '19-16', '19-17', '19-18', '20-18', '21-18']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,26-01-2018,HSBC BWF World Tour Super 500,MS,Quarter final,1,2,False,21-14,21-14,,Wan Ho Son,Sony Dwi Kuncoro,KOR,INA,42,28,8,3,5,0,4,2,2,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '4-2', '5-2', '5-3', '5-4', '6-4', '6-5', '6-6', '7-6', '8-6', '8-7', '8-8', '9-8', '10-8', '11-8', '11-9', '11-10', '12-10', '12-11', '13-11', '13-12', '14-12', '15-12', '16-12', '17-12', '17-13', '18-13', '19-13', '20-13', '20-14', '21-14']",8.0,3.0,3.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '4-5', '5-5', '6-5', '6-6', '6-7', '7-7', '7-8', '8-8', '9-8', '9-9', '9-10', '10-10', '10-11', '11-11', '12-11', '12-12', '13-12', '14-12', '15-12', '16-12', '17-12', '18-12', '19-12', '20-12', '20-13', '20-14', '21-14']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,26-01-2018,HSBC BWF World Tour Super 500,MS,Quarter final,1,2,False,21-9,21-18,,Kazumasa Sakai,Rasmus Gemke,JPN,DEN,42,27,9,5,2,0,9,3,1,0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '3-3', '3-4', '3-5', '4-5', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '8-8', '9-8', '10-8', '11-8', '12-8', '12-9', '13-9', '14-9', '15-9', '16-9', '17-9', '18-9', '19-9', '20-9', '21-9']",4.0,5.0,1.0,0.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '4-4', '5-4', '6-4', '7-4', '8-4', '8-5', '8-6', '9-6', '10-6', '10-7', '10-8', '11-8', '12-8', '12-9', '13-9', '14-9', '14-10', '15-10', '15-11', '15-12', '15-13', '15-14', '15-15', '16-15', '16-16', '16-17', '17-17', '18-17', '19-17', '19-18', '20-18', '21-18']",,,,,[]
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,27-01-2018,HSBC BWF World Tour Super 500,MS,Semi final,1,3,False,21-16,13-21,21-12,Anthony Sinisuka Ginting,Tien Chen Chou,INA,TPE,55,49,7,5,2,1,7,4,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '3-6', '4-6', '4-7', '4-8', '4-9', '5-9', '6-9', '6-10', '7-10', '8-10', '9-10', '10-10', '11-10', '12-10', '13-10', '13-11', '13-12', '14-12', '15-12', '15-13', '16-13', '16-14', '17-14', '17-15', '18-15', '18-16', '19-16', '20-16', '21-16']",4.0,5.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '2-4', '2-5', '2-6', '3-6', '3-7', '4-7', '5-7', '5-8', '5-9', '5-10', '5-11', '5-12', '6-12', '6-13', '6-14', '6-15', '6-16', '7-16', '8-16', '9-16', '10-16', '10-17', '10-18', '11-18', '11-19', '12-19', '13-19', '13-20', '13-21']",5.0,4.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '7-6', '7-7', '8-7', '8-8', '9-8', '9-9', '10-9', '11-9', '12-9', '13-9', '13-10', '14-10', '14-11', '15-11', '16-11', '17-11', '18-11', '19-11', '19-12', '20-12', '21-12']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,27-01-2018,HSBC BWF World Tour Super 500,MS,Semi final,1,3,False,21-18,20-22,21-15,Kazumasa Sakai,Wan Ho Son,JPN,KOR,62,55,7,6,5,1,4,3,1,0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '11-7', '11-8', '12-8', '12-9', '13-9', '14-9', '14-10', '15-10', '15-11', '16-11', '16-12', '17-12', '18-12', '18-13', '18-14', '18-15', '19-15', '19-16', '19-17', '19-18', '20-18', '21-18']",7.0,5.0,3.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '2-4', '2-5', '2-6', '3-6', '3-7', '4-7', '4-8', '4-9', '4-10', '5-10', '5-11', '6-11', '7-11', '8-11', '8-12', '9-12', '9-13', '9-14', '9-15', '10-15', '11-15', '11-16', '12-16', '13-16', '13-17', '14-17', '15-17', '16-17', '17-17', '18-17', '19-17', '20-17', '20-18', '20-19', '20-20', '20-21', '20-22']",5.0,6.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '3-4', '3-5', '3-6', '4-6', '5-6', '6-6', '6-7', '7-7', '8-7', '9-7', '10-7', '11-7', '11-8', '11-9', '11-10', '11-11', '12-11', '13-11', '14-11', '15-11', '15-12', '15-13', '16-13', '17-13', '18-13', '18-14', '19-14', '19-15', '20-15', '21-15']"
DAIHATSU Indonesia Masters 2018,Jakarta,Indonesia,28-01-2018,HSBC BWF World Tour Super 500,MS,Final,2,2,False,13-21,12-21,,Kazumasa Sakai,Anthony Sinisuka Ginting,JPN,INA,25,42,3,5,0,2,2,4,0,1,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '3-5', '4-5', '4-6', '5-6', '5-7', '6-7', '7-7', '7-8', '8-8', '8-9', '8-10', '9-10', '9-11', '9-12', '9-13', '10-13', '10-14', '10-15', '10-16', '10-17', '11-17', '12-17', '12-18', '12-19', '13-19', '13-20', '13-21']",3.0,5.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '2-7', '2-8', '3-8', '4-8', '4-9', '5-9', '5-10', '6-10', '7-10', '7-11', '8-11', '8-12', '8-13', '9-13', '9-14', '9-15', '9-16', '9-17', '9-18', '10-18', '11-18', '12-18', '12-19', '12-20', '12-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,30-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,1,3,False,21-17,15-21,21-7,Kartikey Gulshan Kumar,Siril Verma,IND,IND,57,45,6,4,3,1,4,3,1,0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '3-5', '4-5', '4-6', '4-7', '4-8', '5-8', '6-8', '6-9', '7-9', '8-9', '9-9', '9-10', '9-11', '10-11', '11-11', '12-11', '13-11', '13-12', '13-13', '14-13', '15-13', '16-13', '17-13', '17-14', '18-14', '19-14', '19-15', '19-16', '19-17', '20-17', '21-17']",3.0,4.0,0.0,1.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '7-9', '7-10', '7-11', '7-12', '8-12', '8-13', '9-13', '9-14', '9-15', '10-15', '11-15', '11-16', '12-16', '13-16', '14-16', '14-17', '15-17', '15-18', '15-19', '15-20', '15-21']",6.0,2.0,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '5-2', '6-2', '7-2', '8-2', '9-2', '9-3', '9-4', '10-4', '11-4', '12-4', '13-4', '13-5', '14-5', '15-5', '15-6', '16-6', '17-6', '18-6', '19-6', '20-6', '20-7', '21-7']"
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,30-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,2,2,False,19-21,18-21,,Pratul Joshi,Bodhit Joshi,IND,IND,37,42,5,5,0,3,5,5,0,2,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '4-4', '4-5', '4-6', '4-7', '4-8', '5-8', '6-8', '7-8', '8-8', '9-8', '9-9', '10-9', '10-10', '11-10', '11-11', '11-12', '12-12', '13-12', '13-13', '14-13', '14-14', '14-15', '14-16', '14-17', '14-18', '15-18', '16-18', '17-18', '17-19', '18-19', '18-20', '19-20', '19-21']",4.0,5.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '2-5', '3-5', '3-6', '4-6', '5-6', '6-6', '6-7', '7-7', '8-7', '9-7', '9-8', '10-8', '10-9', '11-9', '12-9', '13-9', '14-9', '14-10', '14-11', '14-12', '14-13', '15-13', '15-14', '15-15', '15-16', '15-17', '15-18', '16-18', '17-18', '17-19', '18-19', '18-20', '18-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,30-01-2018,HSBC BWF World Tour Super 500,MS,Qualification round of 16,2,3,False,21-16,15-21,14-21,Joo Ven Soong,Siddharth Pratap Singh,MAS,IND,50,58,4,6,4,3,4,4,4,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '10-9', '10-10', '11-10', '12-10', '13-10', '14-10', '14-11', '15-11', '15-12', '16-12', '17-12', '17-13', '18-13', '19-13', '20-13', '20-14', '20-15', '20-16', '21-16']",3.0,5.0,0.0,1.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '8-5', '8-6', '9-6', '10-6', '10-7', '10-8', '10-9', '10-10', '10-11', '11-11', '11-12', '11-13', '11-14', '11-15', '11-16', '12-16', '13-16', '14-16', '14-17', '15-17', '15-18', '15-19', '15-20', '15-21']",3.0,4.0,0.0,2.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '4-8', '4-9', '4-10', '5-10', '5-11', '5-12', '5-13', '5-14', '6-14', '7-14', '8-14', '8-15', '9-15', '10-15', '11-15', '11-16', '12-16', '12-17', '12-18', '12-19', '13-19', '13-20', '14-20', '14-21']"
